Id2,Geography,Total_Male,Male_LHS,Male_HS,Male_College,Male_Bachelors,Male_Graduate,Total_Female,Female_LHS,Female_HS,Female_College,Female_Bachelors,Female_Graduate
36005019300,"Census Tract 193, Bronx County, New York",27900,24647,26625,-,36573,-,26758,20991,24028,26304,36667,-
36005019400,"Census Tract 194, Bronx County, New York",42040,-,37431,50116,41250,-,40208,-,37344,36667,48750,75179
36005019500,"Census Tract 195, Bronx County, New York",27138,25326,28313,26121,52909,-,20923,13148,13825,20863,47833,44507
36005019700,"Census Tract 197, Bronx County, New York",32342,14931,35741,31080,41293,-,20016,19861,20039,14245,-,-
36005019900,"Census Tract 199, Bronx County, New York",30741,17917,27431,39591,23627,-,21158,13065,21440,29141,47072,50500
36005020000,"Census Tract 200, Bronx County, New York",29617,26683,27610,34018,28036,46080,21585,-,18244,30809,-,87604
36005020100,"Census Tract 201, Bronx County, New York",30714,19022,35682,41917,41250,-,22616,20703,13942,34464,32750,-
36005020200,"Census Tract 202, Bronx County, New York",31983,27143,26250,48875,40486,86176,26065,-,-,26442,37000,45781
36005020400,"Census Tract 204, Bronx County, New York",26477,21745,27321,26922,103017,-,32621,-,27292,38173,31250,61250
36005020501,"Census Tract 205.01, Bronx County, New York",31989,-,31667,40000,-,-,26995,15227,27250,29063,71042,55313
36005020502,"Census Tract 205.02, Bronx County, New York",25045,25938,22548,24167,95197,-,26750,-,-,21023,47273,-
36005020601,"Census Tract 206.01, Bronx County, New York",50302,40529,-,41842,85486,-,31036,-,17174,-,98125,68636
36005020900,"Census Tract 209, Bronx County, New York",19931,15475,32380,31292,-,-,21431,16097,16960,27083,38289,31513
36005021001,"Census Tract 210.01, Bronx County, New York",37011,29722,34525,44022,37361,51799,34382,24020,31429,44375,34559,53952
36005021002,"Census Tract 210.02, Bronx County, New York",32679,-,29022,32899,-,66635,41716,-,31589,32227,64792,71733
36005021100,"Census Tract 211, Bronx County, New York",27346,25096,29508,26528,45370,-,19391,15402,23235,24306,49896,-
36005021200,"Census Tract 212, Bronx County, New York",40905,-,35810,48125,55212,-,43884,-,31375,45982,45740,56480
36005021301,"Census Tract 213.01, Bronx County, New York",38693,-,37955,40000,68482,-,15278,18472,12102,13478,44432,60729
36005021302,"Census Tract 213.02, Bronx County, New York",26277,21962,21442,35882,52447,-,26293,16630,25599,35640,39511,23169
36005021501,"Census Tract 215.01, Bronx County, New York",31356,25568,-,33409,-,-,23606,11063,18550,30903,46346,41208
36005021502,"Census Tract 215.02, Bronx County, New York",22825,15833,-,24112,40491,-,12973,16050,11056,12014,-,-
36005021601,"Census Tract 216.01, Bronx County, New York",23971,16602,22332,25341,61488,-,16117,-,-,-,17014,-
36005021602,"Census Tract 216.02, Bronx County, New York",29861,17013,25909,28009,73203,63841,34417,-,32171,41333,45369,51354
36005021700,"Census Tract 217, Bronx County, New York",20250,13321,20714,22750,-,-,16274,12292,16716,18942,-,-
36005021800,"Census Tract 218, Bronx County, New York",30843,31429,18425,48311,28694,65375,20815,-,19496,21987,-,-
36005021900,"Census Tract 219, Bronx County, New York",26786,16848,31667,-,38098,-,28864,16250,20547,-,33000,-
36005022000,"Census Tract 220, Bronx County, New York",16913,12930,24511,-,-,-,-,6807,-,33529,-,-
36005022101,"Census Tract 221.01, Bronx County, New York",25906,25275,35417,30900,-,-,17800,16250,-,16959,-,-
36005022102,"Census Tract 221.02, Bronx County, New York",20609,18810,40146,23462,21058,-,15451,11895,10625,18873,-,-
36005022200,"Census Tract 222, Bronx County, New York",30118,-,30110,26125,32237,85469,28730,16771,16683,34500,-,-
36005022300,"Census Tract 223, Bronx County, New York",27419,14324,32723,35250,27703,-,16909,16892,15961,15521,43350,-
36005022401,"Census Tract 224.01, Bronx County, New York",46359,27222,60852,-,66080,-,31985,9650,25438,40750,35905,46490
36005022403,"Census Tract 224.03, Bronx County, New York",37250,-,-,42067,51591,59766,28088,18478,22938,35956,35433,51908
36005022404,"Census Tract 224.04, Bronx County, New York",46027,-,51250,46417,45096,65476,37525,-,34191,37849,34523,56321
36005022500,"Census Tract 225, Bronx County, New York",25116,26226,19032,27750,36771,-,21507,11009,24189,27500,35123,-
36005022701,"Census Tract 227.01, Bronx County, New York",26601,18430,27071,31765,-,44375,22404,13021,23041,20909,30833,48438
36005022702,"Census Tract 227.02, Bronx County, New York",25156,16518,27109,53646,54583,-,21313,11518,13750,-,46477,87500
36005022703,"Census Tract 227.03, Bronx County, New York",35491,22258,35045,41146,39808,64375,31636,-,16413,-,40347,61750
36005022800,"Census Tract 228, Bronx County, New York",45364,30152,27654,60729,61548,65662,37468,-,29531,31650,83977,44405
36005022901,"Census Tract 229.01, Bronx County, New York",26930,20490,21480,28281,-,45833,17000,12963,14901,30320,13423,39511
36005022902,"Census Tract 229.02, Bronx County, New York",22029,19946,29950,-,25833,80139,20700,14238,20050,21486,26992,-
36005023000,"Census Tract 230, Bronx County, New York",21747,-,-,18306,45000,-,40212,-,40375,27333,45677,75234
36005023100,"Census Tract 231, Bronx County, New York",25953,8333,23667,29141,26758,-,20739,-,7500,24583,21818,-
36005023200,"Census Tract 232, Bronx County, New York",31106,26058,30469,32292,66250,35357,27167,26477,36406,-,34432,-
36005023301,"Census Tract 233.01, Bronx County, New York",25469,23029,30820,-,21958,-,19432,13452,14489,22679,46518,-
36005023302,"Census Tract 233.02, Bronx County, New York",21610,14806,25337,15670,28693,76650,18525,17865,22237,16863,20250,-
36005023501,"Census Tract 235.01, Bronx County, New York",21223,28269,18892,41029,-,21645,16062,17066,12309,15931,31200,-
