GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than high school graduate,Margin of Error; Total: - Less than high school graduate,Estimate; Total: - High school graduate (includes equivalency),Margin of Error; Total: - High school graduate (includes equivalency),Estimate; Total: - Some college or associate's degree,Margin of Error; Total: - Some college or associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Graduate or professional degree,Margin of Error; Total: - Graduate or professional degree,Estimate; Total: - Male:,Margin of Error; Total: - Male:,Estimate; Total: - Male: - Less than high school graduate,Margin of Error; Total: - Male: - Less than high school graduate,Estimate; Total: - Male: - High school graduate (includes equivalency),Margin of Error; Total: - Male: - High school graduate (includes equivalency),Estimate; Total: - Male: - Some college or associate's degree,Margin of Error; Total: - Male: - Some college or associate's degree,Estimate; Total: - Male: - Bachelor's degree,Margin of Error; Total: - Male: - Bachelor's degree,Estimate; Total: - Male: - Graduate or professional degree,Margin of Error; Total: - Male: - Graduate or professional degree,Estimate; Total: - Female:,Margin of Error; Total: - Female:,Estimate; Total: - Female: - Less than high school graduate,Margin of Error; Total: - Female: - Less than high school graduate,Estimate; Total: - Female: - High school graduate (includes equivalency),Margin of Error; Total: - Female: - High school graduate (includes equivalency),Estimate; Total: - Female: - Some college or associate's degree,Margin of Error; Total: - Female: - Some college or associate's degree,Estimate; Total: - Female: - Bachelor's degree,Margin of Error; Total: - Female: - Bachelor's degree,Estimate; Total: - Female: - Graduate or professional degree,Margin of Error; Total: - Female: - Graduate or professional degree
1400000US36119003100,36119003100,"Census Tract 31, Westchester County, New York",24736,4021,19408,2197,25903,7782,27371,7965,30625,20050,-,**,24153,6931,21019,4096,35000,17886,-,**,-,**,-,**,25192,6236,-,**,25278,9161,26250,8018,31313,23478,-,**
1400000US36119003200,36119003200,"Census Tract 32, Westchester County, New York",31020,7625,16563,10817,26899,4270,33750,10884,41071,22835,51648,15729,29946,10574,16161,3246,26600,4136,38802,8927,36917,29647,-,**,31220,8240,35750,30084,27176,13401,25313,14234,42321,26637,51250,9950
1400000US36119003300,36119003300,"Census Tract 33, Westchester County, New York",29792,8695,15417,6646,24234,7295,-,**,41116,17091,71563,11444,32500,11228,23657,16351,50163,31051,-,**,63750,43487,-,**,28482,11218,14417,3743,20114,16759,-,**,37500,11032,71563,12446
1400000US36119003400,36119003400,"Census Tract 34, Westchester County, New York",36971,5049,11761,11676,26944,9166,40234,13172,39271,8615,72386,11822,31776,9272,-,**,26466,8052,34375,26553,38661,10135,64784,23662,40981,4361,12857,11103,35741,24774,40547,13215,40139,26252,73000,10928
1400000US36119003500,36119003500,"Census Tract 35, Westchester County, New York",24787,5256,22000,11429,22609,9384,30000,11435,36071,22337,25972,23026,31029,16851,-,**,-,**,-,**,-,**,-,**,24141,3993,21000,3727,-,**,28542,13686,40000,30023,25764,9742
1400000US36119003600,36119003600,"Census Tract 36, Westchester County, New York",28565,5452,25896,10269,21007,1344,38399,2982,49227,3888,-,**,25890,9651,16366,1269,20840,5410,37601,3062,46250,14303,-,**,30719,4260,30460,1702,21175,2891,39875,4431,49227,3484,-,**
1400000US36119003700,36119003700,"Census Tract 37, Westchester County, New York",40024,5806,15341,10259,31358,5478,34118,6248,66184,19463,75865,31277,43882,11300,-,**,35298,10324,35865,22651,-,**,85625,32392,34191,9524,10978,5112,27105,6787,32321,6785,61875,14596,56667,42503
1400000US36119003800,36119003800,"Census Tract 38, Westchester County, New York",45404,7629,-,**,28344,9299,40417,11328,51786,12272,70870,13385,40926,10419,31500,5850,28125,8973,42000,20213,41705,19156,71413,17938,47569,5803,-,**,38472,34386,40134,9669,55250,12612,68750,24919
1400000US36119003900,36119003900,"Census Tract 39, Westchester County, New York",41599,13665,51500,20657,25833,9763,30905,6777,58417,16790,88684,3963,36380,7036,58438,23740,30893,10140,32964,12147,49196,38789,31810,10233,52250,17118,-,**,14656,11593,21129,19910,58792,17942,90305,2688
1400000US36119004000,36119004000,"Census Tract 40, Westchester County, New York",37620,5524,29450,2260,32703,10927,37109,11597,40977,10061,51057,6992,35391,14230,-,**,39583,19330,25347,24218,41585,26593,-,**,39100,6024,28208,13894,30380,20919,42819,10494,40435,13142,51667,7811
